,equity
2021-09-06 00:00:00+00:00,11270.228488620714
2021-09-07 00:00:00+00:00,11270.228488620714
2021-09-08 00:00:00+00:00,11218.907746399043
2021-09-09 00:00:00+00:00,11218.907746399043
2021-09-10 00:00:00+00:00,11125.138829863634
2021-09-13 00:00:00+00:00,11125.138829863634
2021-09-14 00:00:00+00:00,11125.138829863634
2021-09-15 00:00:00+00:00,11125.138829863634
2021-09-16 00:00:00+00:00,11073.946050358769
2021-09-17 00:00:00+00:00,11073.946050358769
2021-09-20 00:00:00+00:00,11073.946050358769
2021-09-21 00:00:00+00:00,11073.946050358769
2021-09-22 00:00:00+00:00,11073.946050358769
2021-09-23 00:00:00+00:00,11073.946050358769
2021-09-24 00:00:00+00:00,11054.63145490757
2021-09-27 00:00:00+00:00,11054.63145490757
2021-09-28 00:00:00+00:00,11054.63145490757
2021-09-29 00:00:00+00:00,11106.336976576242
2021-09-30 00:00:00+00:00,11167.717013858419
2021-10-01 00:00:00+00:00,10980.919170965635
2021-10-04 00:00:00+00:00,10980.919170965635
2021-10-05 00:00:00+00:00,10980.919170965635
2021-10-06 00:00:00+00:00,11117.13274343111
2021-10-07 00:00:00+00:00,11117.13274343111
2021-10-08 00:00:00+00:00,11117.13274343111
2021-10-11 00:00:00+00:00,11066.781788589718
2021-10-12 00:00:00+00:00,11066.781788589718
2021-10-13 00:00:00+00:00,11066.781788589718
2021-10-14 00:00:00+00:00,10881.158509213117
2021-10-15 00:00:00+00:00,10881.158509213117
2021-10-18 00:00:00+00:00,10881.158509213117
2021-10-19 00:00:00+00:00,10881.158509213117
2021-10-20 00:00:00+00:00,10881.158509213117
2021-10-21 00:00:00+00:00,10881.158509213117
2021-10-22 00:00:00+00:00,10881.158509213117
2021-10-25 00:00:00+00:00,10881.158509213117
2021-10-26 00:00:00+00:00,10881.158509213117
2021-10-27 00:00:00+00:00,10881.158509213117
2021-10-28 00:00:00+00:00,10789.988657288255
2021-10-29 00:00:00+00:00,10789.988657288255
2021-11-01 00:00:00+00:00,10740.660444717341
2021-11-02 00:00:00+00:00,10649.717676755083
2021-11-03 00:00:00+00:00,10649.717676755083
2021-11-04 00:00:00+00:00,10649.717676755083
2021-11-05 00:00:00+00:00,10649.717676755083
2021-11-08 00:00:00+00:00,10633.21123949626
2021-11-09 00:00:00+00:00,10633.21123949626
2021-11-10 00:00:00+00:00,10633.21123949626
2021-11-11 00:00:00+00:00,10633.21123949626
